,suicides/100k pop,suicides/100k pop,suicides/100k pop,suicides/100k pop,suicides/100k pop,suicides/100k pop
generation,Boomers,G.I. Generation,Generation X,Generation Z,Millenials,Silent
country,,,,,,
Albania,3.38,4.47,4.63,0.68,1.63,3.83
Antigua and Barbuda,1.24,0.00,0.00,0.00,0.00,1.42
Argentina,7.96,25.11,6.21,0.86,6.63,14.74
Armenia,3.34,7.07,1.90,0.29,0.90,6.48
Aruba,10.34,76.58,12.02,0.00,2.21,7.14
Australia,16.09,19.05,14.35,0.50,6.59,13.92
Austria,22.32,62.65,13.17,0.43,5.77,37.21
Azerbaijan,2.12,2.62,1.26,0.28,0.57,3.06
Bahamas,2.27,0.00,1.56,0.25,0.88,1.21
Bahrain,3.26,0.42,3.07,0.24,1.28,1.21
Barbados,4.83,5.06,2.45,0.00,0.08,3.81
Belarus,41.54,43.78,27.62,0.94,10.41,46.97
Belgium,24.88,48.20,14.73,0.51,6.54,28.18
Belize,7.25,7.58,6.19,0.86,5.39,6.91
Bosnia and Herzegovina,6.62,,5.84,0.11,1.52,12.08
Brazil,6.22,10.46,4.61,0.36,3.05,8.05
Bulgaria,14.57,62.29,8.20,0.30,3.55,29.53
Cabo Verde,8.40,,21.16,2.62,7.28,20.19
Canada,17.19,16.67,12.35,0.81,5.89,13.84
Chile,11.09,14.13,9.22,0.92,7.26,14.58
Colombia,4.94,6.20,5.48,0.96,4.72,6.84
Costa Rica,8.52,9.66,7.03,0.70,4.66,7.93
Croatia,23.70,66.09,14.35,0.57,6.25,45.73
Cuba,20.02,73.58,13.24,0.50,3.68,39.10
Cyprus,4.22,0.00,4.60,0.00,3.08,3.51
Czech Republic,20.56,56.30,12.50,0.36,5.86,27.58
Denmark,17.03,40.40,10.59,0.26,3.57,24.25
Ecuador,6.47,6.23,7.06,1.79,6.10,6.56
El Salvador,11.67,12.88,15.26,0.99,7.82,9.38
Estonia,37.76,69.33,22.88,0.74,10.14,41.73
Fiji,3.86,,4.77,0.13,3.69,8.56
Finland,31.90,36.84,21.37,0.37,10.06,27.13
France,23.92,54.28,12.09,0.40,4.26,31.25
Georgia,4.15,9.25,3.08,0.28,1.41,7.58
Germany,15.92,48.22,9.81,0.29,4.07,25.12
Greece,4.45,8.64,3.06,0.04,1.50,5.51
Grenada,3.39,3.55,1.52,0.00,0.25,3.45
Guatemala,3.80,4.19,3.11,0.47,2.66,3.33
Guyana,26.60,14.65,26.16,3.15,17.72,25.79
Hungary,41.46,109.73,18.28,0.33,5.51,54.51
Iceland,14.89,15.50,13.92,0.51,8.00,15.42
Ireland,14.49,10.75,12.62,0.60,8.05,10.12
Israel,7.97,24.55,5.65,0.31,3.12,11.95
Italy,7.58,23.30,4.81,0.16,2.28,12.66
Jamaica,0.60,0.43,0.48,0.51,0.34,0.70
Japan,23.07,46.44,13.95,0.65,8.81,30.97
Kazakhstan,36.00,49.86,32.87,2.78,15.58,39.28
Kiribati,8.92,0.00,11.46,,2.47,6.75
Kuwait,2.14,0.25,2.07,0.16,0.86,0.51
Kyrgyzstan,17.48,31.27,13.07,1.95,6.52,18.06
Latvia,40.59,67.66,26.73,0.45,10.04,45.01
Lithuania,61.76,63.87,40.88,1.33,17.39,57.05
Luxembourg,18.59,37.96,10.36,0.54,3.99,24.57
Macau,8.10,52.18,4.32,,0.00,13.17
Maldives,1.30,0.00,0.61,0.42,0.63,2.85
Malta,6.36,5.07,5.38,0.55,2.64,6.63
Mauritius,15.12,13.32,13.83,0.91,7.18,12.06
Mexico,4.55,7.03,4.31,0.84,3.84,5.63
Mongolia,13.11,,18.75,,22.43,15.48
Montenegro,9.13,0.00,5.10,1.93,1.34,22.23
Netherlands,13.27,21.32,8.11,0.30,4.02,13.79
New Zealand,15.81,18.69,17.86,1.05,9.38,13.57
Nicaragua,6.65,,7.20,1.09,9.25,6.36
Norway,15.89,18.52,13.01,0.45,6.95,15.85
Oman,0.26,,0.45,0.00,0.29,1.95
Panama,6.05,8.39,5.55,0.41,4.05,7.78
Paraguay,3.75,4.41,3.78,1.04,4.40,5.46
Philippines,2.13,3.06,2.65,0.23,1.78,3.30
Poland,22.95,19.68,14.12,0.58,7.34,20.69
Portugal,9.08,27.91,4.94,0.14,2.20,20.29
Puerto Rico,12.95,23.15,6.82,0.31,2.87,13.15
Qatar,2.13,0.00,2.33,0.09,1.81,1.90
Republic of Korea,21.40,26.83,14.50,0.87,8.56,58.61
Romania,17.67,21.05,9.57,0.83,4.27,18.94
Russian Federation,43.32,61.16,32.47,1.37,14.82,48.16
Saint Lucia,9.56,12.54,6.01,1.07,2.93,8.60
Saint Vincent and Grenadines,8.80,3.70,5.63,1.17,2.78,8.51
San Marino,4.17,0.00,4.73,,0.00,9.17
Serbia,21.25,83.59,12.55,0.12,4.83,48.73
Seychelles,9.93,2.98,7.17,0.00,4.76,12.13
Singapore,12.45,60.64,8.03,0.35,3.91,22.35
Slovakia,18.28,27.09,9.68,0.23,3.32,18.48
Slovenia,34.06,68.54,19.79,0.35,7.56,52.08
South Africa,1.00,1.44,1.02,0.10,0.85,1.19
Spain,8.18,24.37,5.49,0.15,2.34,14.96
Sri Lanka,40.34,56.54,36.10,,8.49,41.12
Suriname,21.62,26.95,18.91,4.11,16.02,28.80
Sweden,18.06,29.08,10.61,0.52,6.21,20.72
Switzerland,20.13,52.60,14.03,0.39,6.09,35.08
Thailand,8.42,7.42,9.08,0.32,3.76,8.49
Trinidad and Tobago,17.58,16.51,14.07,0.78,5.97,16.63
Turkey,2.60,,2.42,0.33,2.43,3.70
Turkmenistan,10.11,15.77,9.86,0.59,4.84,8.10
Ukraine,32.56,48.89,19.09,1.23,9.06,39.85
United Arab Emirates,1.77,,1.69,0.08,1.20,1.41
United Kingdom,10.07,11.91,7.64,0.14,3.39,8.09
United States,15.75,25.63,11.91,0.74,6.70,17.05
Uruguay,17.12,37.31,11.96,0.81,9.65,32.14
Uzbekistan,10.47,11.90,8.98,1.50,4.68,8.48
,,,,,,